Time,Stock Price,Call Option Price from Finite Difference
07/02/2019,162.23,2.88
07/03/2019,162.75,2.83
07/05/2019,160.23,2.22
07/08/2019,157.21,1.71
07/09/2019,157.31,1.68
07/10/2019,160.06,2.11
07/11/2019,166.28,3.98
07/12/2019,167.61,3.93
07/15/2019,167.27,3.87
07/16/2019,167.08,3.81
07/17/2019,169.71,4.58
07/18/2019,170.18,4.52
07/19/2019,168.44,4.46
07/22/2019,171.32,5.31
07/23/2019,175.66,6.27
07/24/2019,178.66,8.58
07/25/2019,173.38,6.12
07/26/2019,175.07,6.05
07/29/2019,174.82,5.98
07/30/2019,175.45,5.9
07/31/2019,168.72,3.97
08/01/2019,164.92,2.52
08/02/2019,161.19,1.93
08/05/2019,150.79,0.42
08/06/2019,152.35,0.57
08/07/2019,153.89,0.77
08/08/2019,158.26,1.01
08/09/2019,154.18,0.72
08/12/2019,151.45,0.5
08/13/2019,156.05,0.93
08/14/2019,150.07,0.32
08/15/2019,148.77,0.31
08/16/2019,159.56,1.16
08/19/2019,170.78,3.21
08/20/2019,167.87,2.48
08/21/2019,171.23,3.86
08/22/2019,171.48,3.8
08/23/2019,162.44,1.36
08/26/2019,165.45,1.75
08/27/2019,161.8,1.29
08/28/2019,161.22,1.25
08/29/2019,167.0,2.14
08/30/2019,167.51,2.09
09/03/2019,164.17,1.55
09/04/2019,168.76,2.58
09/05/2019,179.74,6.08
09/06/2019,178.65,6.0
09/09/2019,180.5,5.91
09/10/2019,183.18,7.03
09/11/2019,184.33,8.27
09/12/2019,184.27,8.17
09/13/2019,181.94,6.76
09/16/2019,180.21,5.49
09/17/2019,181.07,6.57
09/18/2019,179.98,5.32
09/19/2019,176.94,4.22
09/20/2019,172.69,2.54
09/23/2019,174.84,3.2
09/24/2019,172.53,2.42
09/25/2019,178.23,3.91
09/26/2019,177.34,3.83
09/27/2019,171.76,2.24
09/30/2019,174.07,2.86
10/01/2019,174.0,2.79
10/02/2019,173.04,2.06
10/03/2019,181.31,5.47
10/04/2019,181.97,5.37
10/07/2019,184.33,6.51
10/08/2019,177.23,3.22
10/09/2019,180.71,4.04
10/10/2019,183.03,5.0
10/11/2019,185.99,7.46
10/14/2019,186.53,7.35
10/15/2019,196.37,14.09
10/16/2019,194.21,12.06
10/17/2019,194.29,11.95
10/18/2019,190.49,8.4
10/21/2019,196.01,13.62
10/22/2019,195.61,11.59
10/23/2019,195.09,11.47
10/24/2019,196.86,13.26
10/25/2019,204.54,19.52
10/28/2019,206.79,21.69
10/29/2019,202.92,17.07
10/30/2019,203.0,16.95
10/31/2019,201.02,16.83
11/01/2019,202.59,16.71
11/04/2019,210.5,23.49
11/05/2019,209.61,23.38
11/06/2019,207.63,20.91
11/07/2019,208.34,23.16
11/08/2019,207.78,20.68
11/11/2019,208.18,20.57
11/12/2019,209.61,22.84
11/13/2019,208.57,22.73
11/14/2019,209.79,22.62
11/15/2019,204.19,17.78
11/18/2019,212.28,24.84
11/19/2019,207.99,19.9
11/20/2019,211.18,24.63
11/21/2019,210.18,22.08
11/22/2019,210.89,24.42
11/25/2019,221.21,34.24
11/26/2019,217.0,29.17
11/27/2019,218.24,31.55
11/29/2019,216.74,28.97
12/02/2019,209.25,21.44
12/03/2019,207.66,18.89
12/04/2019,209.42,21.23
12/05/2019,208.74,21.13
12/06/2019,212.17,23.5
12/09/2019,212.17,23.4
12/10/2019,213.98,25.79
12/11/2019,217.34,28.19
12/12/2019,224.07,35.57
12/13/2019,223.99,35.48
12/16/2019,225.15,35.38
12/17/2019,228.29,40.27
12/18/2019,229.51,40.17
12/19/2019,235.46,45.06
12/20/2019,239.37,49.95
12/23/2019,238.82,49.86
12/24/2019,238.62,49.76
12/26/2019,239.19,49.66
12/27/2019,236.87,47.07
12/30/2019,232.32,41.99
12/31/2019,235.3,44.38
